date,open,high,low,close,volume
1784033824,0.01,0.01,0.01,0.01,0
1784034124,0.01,0.01,0.01,0.01,0
1784034424,0.01,0.01,0.01,0.01,0
1784034724,0.01,0.01,0.01,0.01,0
1784035024,0.01,0.01,0.01,0.01,0
1784035324,0.01,0.01,0.01,0.01,0
1784035624,0.01,0.01,0.01,0.01,0
1784035924,0.01,0.01,0.01,0.01,0
1784036224,0.01,0.01,0.01,0.01,0
1784036524,0.01,0.01,0.01,0.01,0
1784036824,0.01,0.01,0.01,0.01,0
1784037124,0.01,0.01,0.01,0.01,0
1784037424,0.01,0.01,0.01,0.01,0
1784037724,0.01,0.01,0.01,0.01,0
1784038024,0.01,0.01,0.01,0.01,0
1784038324,0.01,0.01,0.01,0.01,0
1784038624,0.01,0.01,0.01,0.01,0
1784038924,0.01,0.01,0.01,0.01,0
1784039224,0.01,0.01,0.01,0.01,0
1784039524,0.01,0.01,0.01,0.01,0
1784039824,0.01,0.01,0.01,0.01,0
1784040124,0.01,0.01,0.01,0.01,0
1784040424,0.01,0.01,0.01,0.01,0
1784040724,0.01,0.01,0.01,0.01,0
1784041024,0.01,0.01,0.01,0.01,0
1784041324,0.01,0.01,0.01,0.01,0
1784041624,0.01,0.01,0.01,0.01,0
1784041924,0.01,0.01,0.01,0.01,0
1784042224,0.01,0.01,0.01,0.01,0
1784042524,0.01,0.01,0.01,0.01,0
1784042824,0.01,0.01,0.01,0.01,0
1784043124,0.01,0.01,0.01,0.01,0
1784043424,0.01,0.01,0.01,0.01,0
1784043724,0.01,0.01,0.01,0.01,0
1784044024,0.01,0.01,0.01,0.01,0
1784044324,0.01,0.01,0.01,0.01,0
1784044624,0.01,0.01,0.01,0.01,0
1784044924,0.01,0.01,0.01,0.01,0
1784045224,0.01,0.01,0.01,0.01,0
1784045524,0.01,0.01,0.01,0.01,0
1784045824,0.01,0.01,0.01,0.01,0
1784046124,0.01,0.01,0.01,0.01,0
1784046424,0.01,0.01,0.01,0.01,0
1784046724,0.01,0.01,0.01,0.01,0
1784047024,0.01,0.01,0.01,0.01,0
1784047324,0.01,0.01,0.01,0.01,0
1784047624,0.01,0.01,0.01,0.01,0
1784047924,0.01,0.01,0.01,0.01,0
1784048224,0.01,0.01,0.01,0.01,0
1784048524,0.01,0.01,0.01,0.01,0
1784048824,0.01,0.01,0.01,0.01,0
1784049124,0.01,0.01,0.01,0.01,0
1784049424,0.01,0.01,0.01,0.01,0
1784049724,0.01,0.01,0.01,0.01,0
1784050024,0.01,0.01,0.01,0.01,0
1784050324,0.01,0.01,0.01,0.01,0
1784050624,0.01,0.01,0.01,0.01,0
1784050924,0.01,0.01,0.01,0.01,0
1784051224,0.01,0.01,0.01,0.01,0
1784051524,0.01,0.01,0.01,0.01,0
1784051824,0.01,0.01,0.01,0.01,0
1784052124,0.01,0.01,0.01,0.01,0
1784052424,0.01,0.01,0.01,0.01,0
1784052724,0.01,0.01,0.01,0.01,0
1784053024,0.01,0.01,0.01,0.01,0
1784053324,0.01,0.01,0.01,0.01,0
1784053624,0.01,0.01,0.01,0.01,0
1784053924,0.01,0.01,0.01,0.01,0
1784054224,0.01,0.01,0.01,0.01,0
1784054524,0.01,0.01,0.01,0.01,0
1784054824,0.01,0.01,0.01,0.01,0
1784055124,0.01,0.01,0.01,0.01,0
1784055424,0.01,0.01,0.01,0.01,0
1784055724,0.01,0.01,0.01,0.01,0
1784056024,0.01,0.01,0.01,0.01,0
1784056324,0.01,0.01,0.01,0.01,0
1784056624,0.01,0.01,0.01,0.01,0
1784056924,0.01,0.01,0.01,0.01,0
1784057224,0.01,0.01,0.01,0.01,0
1784057524,0.01,0.01,0.01,0.01,0
1784057824,0.01,0.01,0.01,0.01,0
1784058124,0.01,0.01,0.01,0.01,0
1784058424,0.01,0.01,0.01,0.01,0
1784058724,0.01,0.01,0.01,0.01,0
1784059024,0.01,0.01,0.01,0.01,0
1784059324,0.01,0.01,0.01,0.01,0
1784059624,0.01,0.01,0.01,0.01,0
1784059924,0.01,0.01,0.01,0.01,0
1784060224,0.01,0.01,0.01,0.01,0
1784060524,0.01,0.01,0.01,0.01,0
1784060824,0.01,0.01,0.01,0.01,0
1784061124,0.01,0.01,0.01,0.01,0
1784061424,0.01,0.01,0.01,0.01,0
1784061724,0.01,0.01,0.01,0.01,0
1784062024,0.01,0.01,0.01,0.01,0
1784062324,0.01,0.01,0.01,0.01,0
1784062624,0.01,0.01,0.01,0.01,0
1784062924,0.01,0.01,0.01,0.01,0
1784063224,0.01,0.01,0.01,0.01,0
1784063524,0.01,0.01,0.01,0.01,0
1784063824,0.01,0.01,0.01,0.01,0
1784064124,0.01,0.01,0.01,0.01,0
1784064424,0.01,0.01,0.01,0.01,0
1784064724,0.01,0.01,0.01,0.01,0
1784065024,0.01,0.01,0.01,0.01,0
1784065324,0.01,0.01,0.01,0.01,0
1784065624,0.01,0.01,0.01,0.01,0
1784065924,0.01,0.01,0.01,0.01,0
1784066224,0.01,0.01,0.01,0.01,0
1784066524,0.01,0.01,0.01,0.01,0
1784066824,0.01,0.01,0.01,0.01,0
1784067124,0.01,0.01,0.01,0.01,0
1784067424,0.01,0.01,0.01,0.01,0
1784067724,0.01,0.01,0.01,0.01,0
1784068024,0.01,0.01,0.01,0.01,0
1784068324,0.01,0.01,0.01,0.01,0
1784068624,0.01,0.01,0.01,0.01,0
1784068924,0.01,0.01,0.01,0.01,0
1784069224,0.01,0.01,0.01,0.01,0
1784069524,0.01,0.01,0.01,0.01,0
1784069824,0.01,0.01,0.01,0.01,0
1784070124,0.01,0.01,0.01,0.01,0
1784070424,0.01,0.01,0.01,0.01,0
1784070724,0.01,0.01,0.01,0.01,0
1784071024,0.01,0.01,0.01,0.01,0
1784071324,0.01,0.01,0.01,0.01,0
1784071624,0.01,0.01,0.01,0.01,0
1784071924,0.01,0.01,0.01,0.01,0
1784072224,0.01,0.01,0.01,0.01,0
1784072524,0.01,0.01,0.01,0.01,0
1784072824,0.01,0.01,0.01,0.01,0
1784073124,0.01,0.01,0.01,0.01,0
1784073424,0.01,0.01,0.01,0.01,0
1784073724,0.01,0.01,0.01,0.01,0
1784074024,0.01,0.01,0.01,0.01,0
1784074324,0.01,0.01,0.01,0.01,0
1784074624,0.01,0.01,0.01,0.01,0
1784074924,0.01,0.01,0.01,0.01,0
1784075224,0.01,0.01,0.01,0.01,0
1784075524,0.01,0.01,0.01,0.01,0
1784075824,0.01,0.01,0.01,0.01,0
1784076124,0.01,0.01,0.01,0.01,0
1784076424,0.01,0.01,0.01,0.01,0
1784076724,0.01,0.01,0.01,0.01,0
1784077024,0.01,0.01,0.01,0.01,0
1784077324,0.01,0.01,0.01,0.01,0
1784077624,0.01,0.01,0.01,0.01,0
1784077924,0.01,0.01,0.01,0.01,0
1784078224,0.01,0.01,0.01,0.01,0
1784078524,0.01,0.01,0.01,0.01,0
1784078824,0.01,0.01,0.01,0.01,0
1784079124,0.01,0.01,0.01,0.01,0
1784079424,0.01,0.01,0.01,0.01,0
1784079724,0.01,0.01,0.01,0.01,0
1784080024,0.01,0.01,0.01,0.01,0
1784080324,0.01,0.01,0.01,0.01,0
1784080624,0.01,0.01,0.01,0.01,0
1784080924,0.01,0.01,0.01,0.01,0
1784081224,0.01,0.01,0.01,0.01,0
1784081524,0.01,0.01,0.01,0.01,0
1784081824,0.01,0.01,0.01,0.01,0
1784082124,0.01,0.01,0.01,0.01,0
1784082424,0.01,0.01,0.01,0.01,0
1784082724,0.01,0.01,0.01,0.01,0
1784083024,0.01,0.01,0.01,0.01,0
1784083324,0.01,0.01,0.01,0.01,0
1784083624,0.01,0.01,0.01,0.01,0
1784083924,0.01,0.01,0.01,0.01,0
1784084224,0.01,0.01,0.01,0.01,0
1784084524,0.01,0.01,0.01,0.01,0
1784084824,0.01,0.01,0.01,0.01,0
1784085124,0.01,0.01,0.01,0.01,0
1784085424,0.01,0.01,0.01,0.01,0
1784085724,0.01,0.01,0.01,0.01,0
1784086024,0.01,0.01,0.01,0.01,0
1784086324,0.01,0.01,0.01,0.01,0
1784086624,0.01,0.01,0.01,0.01,0
1784086924,0.01,0.01,0.01,0.01,0
1784087224,0.01,0.01,0.01,0.01,0
1784087524,0.01,0.01,0.01,0.01,0
1784087824,0.01,0.01,0.01,0.01,0
1784088124,0.01,0.01,0.01,0.01,0
